ID;Var;Dormancy;Box;LT;BiomassCut;BiomassFin;LAI1(date en jour);LAI2;LAI3;LAI4;LAI5;LAI6;LAI7;;;;;;;;
L1;LUZELLE;2;4;S;0,2079;0,4934;2650;2963;3835;6384;6500;6706;7518;;;;;;;;
L2;LUZELLE;2;2;C;0,1683;0,4375;4697;5047;5074;7873;6938;7660;7617;;;;;;;;
L3;LUZELLE;2;1;C;0,2246;0,5457;8242;5875;6120;9895;8257;7666;8350;;;;;;;;
L4;LUZELLE;2;2;C;0,2687;0,4711;5442;4470;4287;6625;7102;7078;6961;;;;;;;;
L5;LUZELLE;2;3;S;0,3266;0,6188;4109;5136;6255;9170;9270;9996;9558;;;;;;;;
L6;LUZELLE;2;3;S;0,5621;0,2542;3757;2761;2437;3740;3387;3215;4082;;;;;;;;
L7;LUZELLE;2;3;S;0,3082;0,3575;3729;3489;3925;NA;4624;4922;5175;;;;;;;;
L8;LUZELLE;2;3;S;0,4332;0,7644;5588;6297;6653;10864;9887;10655;11765;;;;;;;;
L9;LUZELLE;2;4;S;0,1876;0,4899;3879;3073;4035;5879;6383;5445;6166;;;;;;;;
L10;LUZELLE;2;1;C;0,2406;0,436;9211;4350;4748;8331;7416;7745;8545;;;;;;;;
L11;LUZELLE;2;3;S;0,7026;1,1416;5845;7445;7937;12374;10327;11504;13004;;;;;;;;
L12;LUZELLE;2;4;S;0,2642;0,836;5716;5195;7294;11369;10267;11576;13724;;;;;;;;
L13;LUZELLE;2;2;C;0,2216;0,4868;5945;4193;3823;5708;6131;7652;7576;;;;;;;;
L14;LUZELLE;2;2;C;0,1823;0,3051;2640;3185;3305;5222;6709;5909;6434;;;;;;;;
L15;LUZELLE;2;4;S;0,339;0,5696;4119;4738;5724;8560;8827;8449;9137;;;;;;;;
L16;LUZELLE;2;4;S;0,3641;0,5836;2553;2704;3475;5865;6535;7510;8678;;;;;;;;
L17;LUZELLE;2;2;C;0,1252;0,2092;2359;2316;2065;3121;4356;3959;4724;;;;;;;;
L18;LUZELLE;2;2;C;0,2694;0,3604;5476;2808;3354;5347;5272;4892;5195;;;;;;;;
L19;LUZELLE;2;4;S;0,2087;0,5339;1791;2337;3748;6405;7112;8518;10124;;;;;;;;
L20;LUZELLE;2;2;C;0,2026;0,5128;4191;4517;4620;8291;7751;8935;9817;;;;;;;;
L21;LUZELLE;2;1;C;0,2117;0,4759;5613;3913;3944;5869;6385;6751;7773;;;;;;;;
L22;LUZELLE;2;2;C;0,1092;0,3673;2365;3943;3575;5534;5046;5901;7447;;;;;;;;
L23;LUZELLE;2;4;S;0,1658;0,188;2121;872;1461;2047;2915;3420;4028;;;;;;;;
L24;LUZELLE;2;1;C;0,1063;0,2117;3781;2836;2424;3599;3452;4098;4073;;;;;;;;
L25;LUZELLE;2;1;C;0,2116;0,5305;5625;4039;4451;6877;6580;6123;6290;;;;;;;;
L26;LUZELLE;2;4;S;0,1222;0,5223;4144;4102;4582;6678;6578;7870;9513;;;;;;;;
L27;LUZELLE;2;3;S;0,6557;0,3042;4589;2452;2811;3644;3741;2858;2638;;;;;;;;
L28;LUZELLE;2;3;S;0,3348;0,4362;4118;4228;4102;5860;6104;5976;6672;;;;;;;;
L29;LUZELLE;2;1;C;0,0912;0,3436;4293;2984;2957;4156;5090;5431;5311;;;;;;;;
L30;LUZELLE;2;1;C;0,0768;0,1592;2295;3938;1572;2295;2829;3053;2780;;;;;;;;
A1;ANTANE;2;3;S;0,355;0,3492;1299;2890;3995;5878;5226;5792;6347;;;;;;;;
A2;ANTANE;2;1;C;0,3598;0,6494;7057;7645;7081;10077;8698;8234;9614;;;;;;;;
A3;ANTANE;2;3;S;0,5864;0,4422;6228;4374;4021;NA;4081;4282;4701;;;;;;;;
A4;ANTANE;2;4;S;0,2178;0,3029;1429;1921;2410;4231;4342;4898;5487;;;;;;;;
A5;ANTANE;2;4;S;0,4854;0,3956;2772;2533;4413;6427;8499;6840;6747;;;;;;;;
A6;ANTANE;2;4;S;0,5683;0,4657;6003;4340;5098;NA;5498;6261;5412;;;;;;;;
A7;ANTANE;2;2;C;0,2518;0,384;5679;5135;5188;7316;7743;7175;4359;;;;;;;;
A8;ANTANE;2;2;C;0,4721;0,7744;4598;6493;6529;9780;9995;10241;12447;;;;;;;;
A9;ANTANE;2;2;C;0,2643;0,5636;4789;3586;6415;9974;11379;10061;10550;;;;;;;;
A10;ANTANE;2;1;C;0,3844;0,7589;9783;8582;9530;13034;11783;10511;11450;;;;;;;;
A11;ANTANE;2;2;C;1,0051;0,93;9980;9998;10080;11980;12144;10823;11608;;;;;;;;
A12;ANTANE;2;1;C;0,0654;0,4535;2971;3581;3487;6019;5781;6450;7236;;;;;;;;
A13;ANTANE;2;2;C;0,7981;0,222;3391;2803;2227;3626;5247;4552;5103;;;;;;;;
A14;ANTANE;2;3;S;1,1352;0,5569;5498;5043;5535;7239;5709;5929;5992;;;;;;;;
A15;ANTANE;2;3;S;0,2175;0,5495;4320;3932;6379;7361;6719;5662;5970;;;;;;;;
A16;ANTANE;2;3;S;0,9286;0,3463;1595;4699;2180;3662;3810;4489;5873;;;;;;;;
A17;ANTANE;2;3;S;0,5652;0,8035;8267;7685;7921;10324;8185;8130;8506;;;;;;;;
A18;ANTANE;2;2;C;0,5167;0,8844;10478;9996;11064;15046;14039;13347;13888;;;;;;;;
A19;ANTANE;2;1;C;0,506;0,7782;18448;8569;10370;14641;11936;14331;14004;;;;;;;;
A20;ANTANE;2;4;S;0,4084;0,423;2477;1893;2158;3209;4477;5028;7004;;;;;;;;
A21;ANTANE;2;1;C;0,4114;0,5557;6133;5913;6508;9056;8185;7997;8479;;;;;;;;
A22;ANTANE;2;1;C;0,5551;0,4471;5593;4838;5414;8617;7835;7872;8050;;;;;;;;
A23;ANTANE;2;1;C;0,1784;0,2663;4243;2086;2119;2989;5094;4272;4375;;;;;;;;
A24;ANTANE;2;3;S;0,7641;0,573;5796;4294;5152;6790;6014;5650;5230;;;;;;;;
A25;ANTANE;2;4;S;0,6447;0,6757;5169;6312;6908;10564;9514;8377;9484;;;;;;;;
A26;ANTANE;2;2;C;0,6219;0,6033;4556;4247;4603;7277;6625;7387;8203;;;;;;;;
A27;ANTANE;2;3;S;0,4651;0,6939;5883;4593;5302;8913;9210;9762;8248;;;;;;;;
A28;ANTANE;2;1;C;0,3787;0,4892;5141;4758;3768;6841;6332;7627;8521;;;;;;;;
A29;ANTANE;2;4;S;0,8282;0,8318;6042;6877;6363;10106;9560;8749;10988;;;;;;;;
A30;ANTANE;2;4;S;0,738;0,9564;5642;6999;8433;12883;10489;11927;12430;;;;;;;;
M1;MARINA;7;2;C;0,324;0,4474;6420;6155;5605;7199;6453;6286;6636;;;;;;;;
M2;MARINA;7;3;S;0,2988;0,5921;5555;5177;5451;8814;9325;9677;11116;;;;;;;;
M3;MARINA;7;1;C;0,1447;0,319;4106;NA;3372;4637;5039;5235;5678;;;;;;;;
M4;MARINA;7;3;S;0,4386;0,9837;5081;6839;8041;13109;10254;12669;15190;;;;;;;;
M5;MARINA;7;3;S;0,5063;0,4951;3124;4109;5244;8140;6056;7642;8117;;;;;;;;
M6;MARINA;7;2;C;0,4274;0,7525;10483;6468;7639;11234;10966;12773;14013;;;;;;;;
M7;MARINA;7;4;S;0,5729;0,3698;2109;2245;2689;4864;5300;5027;5639;;;;;;;;
M8;MARINA;7;1;C;0,368;0,6433;9826;6460;6875;10953;10223;9499;9653;;;;;;;;
M9;MARINA;7;3;S;0,623;0,7083;3209;3545;3759;5942;6465;8087;8958;;;;;;;;
M10;MARINA;7;3;S;0,4373;0,7733;6647;6206;6342;8752;7569;7311;8840;;;;;;;;
M11;MARINA;7;2;C;0,442;0,6897;4997;5955;7000;10879;8705;7974;9071;;;;;;;;
M12;MARINA;7;1;C;0,42;0,8965;23731;8709;9152;15637;13818;13128;14473;;;;;;;;
M13;MARINA;7;3;S;0,3112;0,3105;2342;2957;2428;4230;4289;4838;5193;;;;;;;;
M14;MARINA;7;1;C;0,3246;0,3076;6106;3109;3185;4586;4619;4312;4333;;;;;;;;
M15;MARINA;7;4;S;0,4994;0,6275;3485;2974;3775;6237;6907;7092;9103;;;;;;;;
M16;MARINA;7;4;S;0,5968;0,6693;5005;4024;4614;7818;8698;9370;9583;;;;;;;;
M17;MARINA;7;4;S;0,3301;0,7528;7269;6020;7021;11328;9207;10213;12312;;;;;;;;
M18;MARINA;7;4;S;0,5833;1,15;7067;8491;10070;13592;13464;13977;13489;;;;;;;;
M19;MARINA;7;2;C;0,1729;0,2218;4998;4247;1612;2844;3140;3290;4245;;;;;;;;
M20;MARINA;7;1;C;0,5951;0,6271;14886;6609;6579;7601;7197;6957;8073;;;;;;;;
M21;MARINA;7;2;C;0,6407;0,7906;9680;7713;8552;13224;9563;11174;10799;;;;;;;;
M22;MARINA;7;4;S;0,6075;0,7779;9833;5088;7407;12213;11280;10839;12131;;;;;;;;
M23;MARINA;7;1;C;0,5726;0,6441;14286;8053;7879;10555;10074;9729;10556;;;;;;;;
M24;MARINA;7;3;S;0,8112;0,4085;7081;3283;3461;4070;3693;3392;4134;;;;;;;;
M25;MARINA;7;3;S;0,4271;0,5244;2753;4050;4153;7314;7005;7290;8037;;;;;;;;
M26;MARINA;7;2;C;0,665;0,6711;8233;6274;7222;9954;8523;9105;8506;;;;;;;;
M27;MARINA;7;1;C;0,3023;0,9007;13053;7642;9206;10682;11013;12246;12508;;;;;;;;
M28;MARINA;7;2;C;0,6199;0,7207;6065;6029;6528;9959;9191;9513;11289;;;;;;;;
M29;MARINA;7;1;C;0,787;0,7978;6806;5698;5773;9386;9441;9187;10029;;;;;;;;
M30;MARINA;7;4;S;0,641;0,552;3858;3740;4185;6583;6754;8252;7585;;;;;;;;
B1;BARVINCE;7;1;C;0,2831;0,422;3471;3539;3932;5479;5686;6097;7041;;;;;;;;
B2;BARVINCE;7;1;C;0,229;0,3265;4002;3619;3962;5149;5518;5829;6374;;;;;;;;
B3;BARVINCE;7;3;S;0,5359;0,7627;3063;3638;5119;9328;8175;9328;10527;;;;;;;;
B4;BARVINCE;7;3;S;0,2207;0,5362;4599;4655;5082;8554;7763;8338;9362;;;;;;;;
B5;BARVINCE;7;3;S;0,4172;0,4598;3390;3802;4424;5418;4726;4328;5785;;;;;;;;
B6;BARVINCE;7;2;C;0,3168;0,4945;2936;3522;4075;5457;7602;7467;9130;;;;;;;;
B7;BARVINCE;7;3;S;0,8064;0,4927;5823;3847;3400;4482;3968;4390;4541;;;;;;;;
B8;BARVINCE;7;2;C;0,3791;0,6425;4808;4222;5140;8305;7717;8970;9283;;;;;;;;
B9;BARVINCE;7;4;S;0,3556;0,6255;NA;3542;4224;5981;6054;9419;9829;;;;;;;;
B10;BARVINCE;7;3;S;0,4785;0,7741;7021;6848;7658;11960;11707;11364;13228;;;;;;;;
B11;BARVINCE;7;2;C;0,44;0,6205;3956;5231;5072;8566;9618;10195;11955;;;;;;;;
B12;BARVINCE;7;3;S;0,5457;0,3772;3974;4494;5918;8195;8398;9787;10548;;;;;;;;
B13;BARVINCE;7;1;C;0,157;0,8637;4166;3829;2346;3280;2993;3356;3437;;;;;;;;
B14;BARVINCE;7;2;C;0,049;0,2298;1769;4169;1606;2191;2302;2603;2468;;;;;;;;
B15;BARVINCE;7;2;C;0,0885;0,1312;2140;2843;2335;3597;4527;3996;4359;;;;;;;;
B16;BARVINCE;7;4;S;0,184;0,1991;2464;2226;2571;3763;5638;4785;5907;;;;;;;;
B17;BARVINCE;7;4;S;0,1991;0,3241;2281;3169;3959;5504;4922;5513;5801;;;;;;;;
B18;BARVINCE;7;1;C;0,2286;0,4587;5592;4733;4489;7387;7325;7256;7594;;;;;;;;
B19;BARVINCE;7;1;C;0,377;0,4152;4308;3935;3995;5635;5690;5349;6520;;;;;;;;
B20;BARVINCE;7;4;S;0,3323;0,4912;7459;2939;3615;5744;5529;6201;6410;;;;;;;;
B21;BARVINCE;7;1;C;0,0996;0,2503;2072;2064;2075;3409;3391;4125;4774;;;;;;;;
B22;BARVINCE;7;3;S;0,4329;0,4224;3277;3126;3901;5572;5882;5939;7324;;;;;;;;
B23;BARVINCE;7;2;C;0,0962;0,2675;3839;NA;2665;4025;4146;4991;4811;;;;;;;;
B24;BARVINCE;7;4;S;0,2878;0,5798;5863;4405;4478;7593;7517;9765;10306;;;;;;;;
B25;BARVINCE;7;2;C;0,1091;0,1799;2620;2170;2119;NA;3595;3831;4073;;;;;;;;
B26;BARVINCE;7;4;S;0,2011;0,4354;2743;3114;3828;6244;6404;8113;9810;;;;;;;;
B27;BARVINCE;7;4;S;0,1193;0,3892;2439;2422;3047;5177;5362;6388;7722;;;;;;;;
B28;BARVINCE;7;1;C;0,3158;0,4577;6617;NA;5108;6804;7490;8009;8318;;;;;;;;
B29;BARVINCE;7;4;S;0,5694;1,0079;3837;6104;7272;11578;11058;14879;15173;;;;;;;;
B30;BARVINCE;7;3;S;0,394;0,5592;2960;5129;3780;6137;5970;6403;7671;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
